province,folder_url,has_link,indexed_ok,raw_ok,n_items,n_dirs,n_files,n_pdfs,latest_modtime,ts_utc,error,folder_id
กระบี่,https://drive.google.com/drive/folders/1jG2TcSJVrmvOacW0kMaDaVzrU2wM6Quc,True,True,True,130,40,90,90,2026-02-11T07:09:03.190Z,2026-02-12T14:13:52Z,,1jG2TcSJVrmvOacW0kMaDaVzrU2wM6Quc
กรุงเทพมหานคร,https://drive.google.com/drive/folders/1C1bvoAzR55wuJ6Dkt5OYWGz4ukv-F5Sl,True,True,True,5214,788,4426,4422,2026-02-12T09:04:18.400Z,2026-02-12T13:12:40Z,,1C1bvoAzR55wuJ6Dkt5OYWGz4ukv-F5Sl
กาญจนบุรี,https://drive.google.com/drive/folders/1h98dubKjCGNWqajx-KZx-bXlACzg6B4X,True,True,True,1526,542,984,984,2026-02-12T13:38:56.490Z,2026-02-12T14:04:11Z,,1h98dubKjCGNWqajx-KZx-bXlACzg6B4X
กาฬสินธุ์,https://drive.google.com/drive/folders/1nRvDR4BWnW0j4DmeS4owe6Pb0iiUrudv,True,True,True,1895,1313,582,582,2026-02-12T13:26:26.000Z,2026-02-12T13:43:37Z,,1nRvDR4BWnW0j4DmeS4owe6Pb0iiUrudv
กำแพงเพชร,https://drive.google.com/drive/folders/1YFrEvow3-HwkcosJuXNeI82DL1WSrK_S,True,True,True,1662,454,1208,1208,2026-02-12T09:58:32.000Z,2026-02-12T13:55:36Z,,1YFrEvow3-HwkcosJuXNeI82DL1WSrK_S
ขอนแก่น,https://drive.google.com/drive/folders/1A89Hil8Yu_cFlU-FPY6FLfevaqOEg5IC,True,True,True,599,89,510,499,2026-02-10T14:53:55.861Z,2026-02-12T13:37:48Z,,1A89Hil8Yu_cFlU-FPY6FLfevaqOEg5IC
จันทบุรี,https://drive.google.com/drive/folders/15oWc6hB8XVJ4ku-fsCUQl7DI0bBOzl-a,True,True,True,1916,679,1237,1237,2026-02-11T09:34:56.893Z,2026-02-12T13:19:27Z,,15oWc6hB8XVJ4ku-fsCUQl7DI0bBOzl-a
ฉะเชิงเทรา,https://drive.google.com/drive/folders/1lHFX-tgeHOqAOSPIrkKx8-uIr9RZFIUB,True,True,True,447,117,330,330,2026-02-12T07:52:45.733Z,2026-02-12T13:20:37Z,,1lHFX-tgeHOqAOSPIrkKx8-uIr9RZFIUB
ชลบุรี,,False,False,False,0,0,0,0,,,,
ชัยนาท,https://drive.google.com/drive/folders/1UUm2NLLCM-2hwZ0-GyJ5FqP4-Kk2tBnx,True,True,True,867,248,619,617,2026-02-12T13:03:38.988Z,2026-02-12T13:17:34Z,,1UUm2NLLCM-2hwZ0-GyJ5FqP4-Kk2tBnx
ชัยภูมิ,https://drive.google.com/drive/folders/11OAVEt8A7SfQLv9uPi9O-gLk37i_3CSI,True,True,True,159,43,116,116,2026-02-12T10:59:34.262Z,2026-02-12T13:37:36Z,,11OAVEt8A7SfQLv9uPi9O-gLk37i_3CSI
ชุมพร,https://drive.google.com/drive/folders/1Hhtc2g_Tr5cWt4mVeSKgx6GbP1ZpT85k,True,True,True,2515,845,1670,1670,2026-02-10T14:18:27.559Z,2026-02-12T14:17:08Z,,1Hhtc2g_Tr5cWt4mVeSKgx6GbP1ZpT85k
ตรัง,https://drive.google.com/drive/folders/1bQiDrKRbJ9seMVA6XlUhRFUw5sRMovrz,True,True,True,1247,561,686,686,2026-02-12T11:28:23.725Z,2026-02-12T14:19:19Z,,1bQiDrKRbJ9seMVA6XlUhRFUw5sRMovrz
ตราด,https://drive.google.com/drive/folders/1XLFjavED1BW_AG4xBDh5BfI6VQHv30_x,True,True,True,427,162,265,52,2026-02-11T06:48:11.048Z,2026-02-12T13:20:27Z,,1XLFjavED1BW_AG4xBDh5BfI6VQHv30_x
ตาก,https://drive.google.com/drive/folders/19vRSFjNCdHx2SqCb1fpWqC1UguoTmCNx,True,True,True,1386,781,605,605,2026-02-12T11:43:06.000Z,2026-02-12T13:56:13Z,,19vRSFjNCdHx2SqCb1fpWqC1UguoTmCNx
นครนายก,,False,False,False,0,0,0,0,,,,
นครปฐม,https://drive.google.com/drive/folders/1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc,True,True,True,1582,581,1001,998,2026-02-12T05:04:05.000Z,2026-02-12T14:04:58Z,,1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc
นครพนม,https://drive.google.com/drive/folders/11VfP-Cst29ZKdRSS7kj9g7IgxMKdUyNK?usp=drive_link,True,True,True,1110,70,1040,1040,2026-02-11T10:58:04.972Z,2026-02-12T13:50:23Z,,11VfP-Cst29ZKdRSS7kj9g7IgxMKdUyNK
นครราชสีมา,https://drive.google.com/drive/folders/1VUAH6skupn_Y1Kbfm5C6WYQSmSqsESNf,True,False,True,0,0,0,0,,2026-02-12T13:23:48Z,,1VUAH6skupn_Y1Kbfm5C6WYQSmSqsESNf
นครศรีธรรมราช,https://drive.google.com/drive/folders/1Sn2_mAtcns6Q-Rn8QjlYdIYqvbiNt7DB,True,True,True,6595,2543,4052,1690,2026-02-12T08:04:33.000Z,2026-02-12T14:09:43Z,,1Sn2_mAtcns6Q-Rn8QjlYdIYqvbiNt7DB
นครสวรรค์,,False,False,False,0,0,0,0,,,,
นนทบุรี,https://drive.google.com/drive/folders/1MApGQ8YpAG1hVMOWqfKdfag3KLWYYWY5,True,True,True,1739,579,1160,1160,2026-02-12T11:14:04.692Z,2026-02-12T13:13:54Z,,1MApGQ8YpAG1hVMOWqfKdfag3KLWYYWY5
นราธิวาส,https://drive.google.com/drive/u/1/folders/1XRZIqhC4n6JEYCnON868am2pP4vMByE1,True,False,False,0,0,0,0,,,,
น่าน,https://drive.google.com/drive/folders/1Qxfkwmm98At95sWBoMStaYaUvGNh6jxd,True,True,True,147,63,84,84,2026-02-12T05:47:51.747Z,2026-02-12T13:54:25Z,,1Qxfkwmm98At95sWBoMStaYaUvGNh6jxd
บึงกาฬ,,False,False,False,0,0,0,0,,,,
บุรีรัมย์,https://drive.google.com/drive/folders/1oPGf30Fo3_wELh5PpQibP24SXTVqga3q,True,True,True,8278,2753,5525,4581,2026-02-12T10:18:08.000Z,2026-02-12T13:23:49Z,,1oPGf30Fo3_wELh5PpQibP24SXTVqga3q
ปทุมธานี,https://drive.google.com/drive/folders/1bTPhst0RbMD-U9mFdxqOMzEyvOisQL6i,True,True,True,2717,455,2262,1557,2026-02-12T11:16:43.442Z,2026-02-12T13:14:43Z,,1bTPhst0RbMD-U9mFdxqOMzEyvOisQL6i
ประจวบคีรีขันธ์,https://drive.google.com/drive/folders/1pV61BgH_CEOM-ETOvssJcYJBrjsiNuuV,True,True,True,2297,805,1492,1492,2026-02-12T12:17:48.874Z,2026-02-12T14:08:32Z,,1pV61BgH_CEOM-ETOvssJcYJBrjsiNuuV
ปราจีนบุรี,https://drive.google.com/drive/folders/1GnQ8lFpzfnpuy83KItOp5X5uqYsz1Wit,True,True,True,5966,1608,4358,347,2026-02-11T09:55:13.000Z,2026-02-12T13:20:45Z,,1GnQ8lFpzfnpuy83KItOp5X5uqYsz1Wit
ปัตตานี,https://drive.google.com/drive/folders/1_y3m72ukRQM1kTa5XPR_qiQC6foLci5a,True,True,True,3737,1104,2633,2629,2026-02-12T08:43:05.000Z,2026-02-12T14:20:13Z,,1_y3m72ukRQM1kTa5XPR_qiQC6foLci5a
พระนครศรีอยุธยา,https://drive.google.com/drive/folders/11kxwA_elo8-IzYgFyyxplpFymLlqz3eY?hl=th,True,True,True,2137,582,1555,1543,2026-02-12T09:07:43.000Z,2026-02-12T13:15:21Z,,11kxwA_elo8-IzYgFyyxplpFymLlqz3eY
พะเยา,https://drive.google.com/drive/folders/1e_3_iZiijJIUxY20L55tZYW4AAXTnezQ,True,True,True,1030,372,658,260,2026-02-12T11:01:55.465Z,2026-02-12T13:54:29Z,,1e_3_iZiijJIUxY20L55tZYW4AAXTnezQ
พังงา,https://drive.google.com/drive/folders/1OsTJ5mpr5BGxC29w-hUDmJztZQonU6mZ,True,True,True,1191,447,744,744,2026-02-12T07:09:08.935Z,2026-02-12T14:13:55Z,,1OsTJ5mpr5BGxC29w-hUDmJztZQonU6mZ
พัทลุง,https://drive.google.com/drive/folders/1iZAbINx1SXfr50Ul5ljAc68Si7tDV9Sz,True,True,True,31,15,16,16,2026-02-12T11:02:07.000Z,2026-02-12T14:20:06Z,,1iZAbINx1SXfr50Ul5ljAc68Si7tDV9Sz
พิจิตร,https://drive.google.com/drive/folders/1At01M8EipiffkqpTRT2uln5FTcA-Mktj,True,True,True,2893,1002,1891,1715,2026-02-12T10:58:08.612Z,2026-02-12T14:01:03Z,,1At01M8EipiffkqpTRT2uln5FTcA-Mktj
พิษณุโลก,https://drive.google.com/drive/folders/1I28S5sE3JOsbux5zk3oXp2gEe58-TpQ5?usp=sharing,True,True,True,1980,1458,522,522,2026-02-12T13:53:39.000Z,2026-02-12T13:58:45Z,,1I28S5sE3JOsbux5zk3oXp2gEe58-TpQ5
ภูเก็ต,https://drive.google.com/drive/folders/1AsZpIJhIrt1XEmF8NASilMML_qf4We-C,True,True,True,2825,968,1857,1857,2026-02-12T10:44:59.000Z,2026-02-12T14:14:35Z,,1AsZpIJhIrt1XEmF8NASilMML_qf4We-C
มหาสารคาม,https://drive.google.com/drive/folders/1OLW1YTKxj4kTnxHYf0EdwZGKcE5Seojz,True,True,True,1862,651,1211,1206,2026-02-12T09:42:09.056Z,2026-02-12T13:38:20Z,,1OLW1YTKxj4kTnxHYf0EdwZGKcE5Seojz
มุกดาหาร,https://drive.google.com/drive/folders/17r8Me6sljlN1NC7er3skOZfpbV1w4aE0,True,True,True,1333,72,1261,1261,2026-02-11T09:47:31.197Z,2026-02-12T13:50:28Z,,17r8Me6sljlN1NC7er3skOZfpbV1w4aE0
